course_code,course_title,skill_id,skill_name,weight
DC1TT44,Tin học cơ sở,SK17,Lập trình cơ bản (Python/Java/C#),0.3
DC1TT44,Tin học cơ sở,SK15,Excel nâng cao,0.3
DC1CB35,Tiếng Anh,SK26,Tiếng Anh chuyên ngành,0.3
DC1TT77,Kỹ năng mềm,SK22,Giao tiếp,0.4
DC1TT77,Kỹ năng mềm,SK24,Làm việc nhóm,0.4
DC1TT77,Kỹ năng mềm,SK27,Quản lý thời gian,0.3
DC1CB98,Làm việc nhóm và kỹ năng giao tiếp,SK22,Giao tiếp,0.5
DC1CB98,Làm việc nhóm và kỹ năng giao tiếp,SK24,Làm việc nhóm,0.5
DC1TT31,Kỹ thuật xây dựng và trình bày báo cáo,SK23,Thuyết trình,0.6
DC1CB20,Lý thuyết xác suất – thống kê,SK14,Thống kê,0.9
DC1CB20,Lý thuyết xác suất – thống kê,SK12,Phân tích dữ liệu,0.3
DC1CB99,Phương pháp nghiên cứu khoa học,SK25,Giải quyết vấn đề,0.4
DC1CB99,Phương pháp nghiên cứu khoa học,SK23,Thuyết trình,0.3
DC1CB99,Phương pháp nghiên cứu khoa học,SK12,Phân tích dữ liệu,0.3
DC2HT42,Toán học rời rạc,SK25,Giải quyết vấn đề,0.4
DC2TT23,Ngôn ngữ lập trình C,SK17,Lập trình cơ bản (Python/Java/C#),0.7
DC2TT22,Nhập môn Cơ sở dữ liệu,SK09,SQL,0.6
DC2TT22,Nhập môn Cơ sở dữ liệu,SK10,Thiết kế cơ sở dữ liệu,0.7
DC2HT12,Nguyên lý Hệ điều hành,SK03,Tư duy hệ thống (Systems Thinking),0.3
DC2HT13,Nhập môn Mạng máy tính,SK19,Mạng máy tính,0.8
DC2TT35,Lập trình hướng đối tượng C++,SK17,Lập trình cơ bản (Python/Java/C#),0.9
DC2HT34,Lập trình trực quan C#,SK17,Lập trình cơ bản (Python/Java/C#),0.7
DC2HT26,Cấu trúc dữ liệu và giải thuật,SK17,Lập trình cơ bản (Python/Java/C#),0.5
DC2HT26,Cấu trúc dữ liệu và giải thuật,SK25,Giải quyết vấn đề,0.6
DC3HT60,Phân tích và thiết kế hệ thống thông tin,SK04,Phân tích thiết kế hệ thống (UML/SA&D),1.0
DC3HT60,Phân tích và thiết kế hệ thống thông tin,SK01,Phân tích yêu cầu nghiệp vụ (Requirements Analysis),0.7
DC3HT60,Phân tích và thiết kế hệ thống thông tin,SK02,Mô hình hóa quy trình nghiệp vụ (BPMN),0.6
